O*NET-SOC Code	Task ID	Scale ID	Category	Data Value	N	Standard Error	Lower CI Bound	Upper CI Bound	Recommend Suppress	Date	Domain Source
11-1011.00	8823	FT	1	4.34	79	2.48	1.36	12.96	N	07/2014	Incumbent
11-1011.00	8823	FT	2	9.16	79	3.86	3.86	20.24	N	07/2014	Incumbent
11-1011.00	8823	FT	3	11.04	79	3.44	5.82	19.95	N	07/2014	Incumbent
11-1011.00	8823	FT	4	16.19	79	4.37	9.24	26.83	N	07/2014	Incumbent
11-1011.00	8823	FT	5	46.67	79	6.03	35.07	58.64	N	07/2014	Incumbent
11-1011.00	8823	FT	6	7.33	79	3.40	2.83	17.65	N	07/2014	Incumbent
11-1011.00	8823	FT	7	5.26	79	4.30	0.99	23.59	N	07/2014	Incumbent
11-1011.00	8823	IM	n/a	4.54	78	0.08	4.38	4.71	N	07/2014	Incumbent
11-1011.00	8823	RT	n/a	94.19	87	3.35	82.75	98.21	N	07/2014	Incumbent
11-1011.00	8831	FT	1	12.96	83	3.77	7.12	22.44	N	07/2014	Incumbent
11-1011.00	8831	FT	2	16.77	83	4.67	9.38	28.15	N	07/2014	Incumbent
11-1011.00	8831	FT	3	15.16	83	4.46	8.22	26.27	N	07/2014	Incumbent
11-1011.00	8831	FT	4	15.18	83	4.41	8.30	26.13	N	07/2014	Incumbent
11-1011.00	8831	FT	5	23.95	83	5.84	14.27	37.34	N	07/2014	Incumbent
11-1011.00	8831	FT	6	15.36	83	5.37	7.39	29.21	N	07/2014	Incumbent
11-1011.00	8831	FT	7	0.63	83	0.64	0.08	4.59	N	07/2014	Incumbent
11-1011.00	8831	IM	n/a	4.48	82	0.08	4.31	4.65	N	07/2014	Incumbent
11-1011.00	8831	RT	n/a	94.26	87	4.36	76.81	98.79	N	07/2014	Incumbent
11-1011.00	8825	FT	1	0.00	87	0.00	n/a	n/a	N	07/2014	Incumbent
11-1011.00	8825	FT	2	19.04	87	5.69	10.15	32.88	N	07/2014	Incumbent
11-1011.00	8825	FT	3	12.61	87	3.81	6.76	22.29	N	07/2014	Incumbent
11-1011.00	8825	FT	4	18.96	87	4.97	10.96	30.79	N	07/2014	Incumbent
11-1011.00	8825	FT	5	35.11	87	5.96	24.34	47.64	N	07/2014	Incumbent
11-1011.00	8825	FT	6	10.56	87	3.79	5.05	20.77	N	07/2014	Incumbent
11-1011.00	8825	FT	7	3.73	87	2.03	1.24	10.65	N	07/2014	Incumbent
11-1011.00	8825	IM	n/a	4.40	86	0.10	4.21	4.59	N	07/2014	Incumbent
11-1011.00	8825	RT	n/a	100.00	87	0.00	n/a	n/a	N	07/2014	Incumbent
11-1011.00	8826	FT	1	3.17	84	2.97	0.48	18.27	N	07/2014	Incumbent
11-1011.00	8826	FT	2	9.27	84	3.97	3.84	20.71	N	07/2014	Incumbent
11-1011.00	8826	FT	3	10.18	84	3.85	4.68	20.75	N	07/2014	Incumbent
11-1011.00	8826	FT	4	23.83	84	6.25	13.63	38.28	N	07/2014	Incumbent
11-1011.00	8826	FT	5	38.47	84	8.10	24.04	55.27	N	07/2014	Incumbent
11-1011.00	8826	FT	6	8.70	84	3.65	3.68	19.22	N	07/2014	Incumbent
11-1011.00	8826	FT	7	6.38	84	4.33	1.58	22.38	N	07/2014	Incumbent
11-1011.00	8826	IM	n/a	4.39	84	0.07	4.24	4.54	N	07/2014	Incumbent
11-1011.00	8826	RT	n/a	95.84	87	2.42	87.35	98.71	N	07/2014	Incumbent
11-1011.00	8827	FT	1	24.24	77	5.84	14.52	37.62	N	07/2014	Incumbent
11-1011.00	8827	FT	2	38.58	77	6.88	26.05	52.83	N	07/2014	Incumbent
11-1011.00	8827	FT	3	18.43	77	5.57	9.75	32.09	N	07/2014	Incumbent
11-1011.00	8827	FT	4	10.23	77	4.16	4.42	21.94	N	07/2014	Incumbent
11-1011.00	8827	FT	5	7.87	77	3.45	3.20	18.07	N	07/2014	Incumbent
11-1011.00	8827	FT	6	0.00	77	0.00	n/a	n/a	N	07/2014	Incumbent
11-1011.00	8827	FT	7	0.65	77	0.66	0.09	4.77	N	07/2014	Incumbent
11-1011.00	8827	IM	n/a	4.17	76	0.12	3.93	4.42	N	07/2014	Incumbent
11-1011.00	8827	RT	n/a	90.47	87	3.71	80.13	95.72	N	07/2014	Incumbent
11-1011.00	8824	FT	1	1.59	85	1.49	0.24	9.68	N	07/2014	Incumbent
11-1011.00	8824	FT	2	11.14	85	3.73	5.60	20.96	N	07/2014	Incumbent
11-1011.00	8824	FT	3	27.41	85	6.06	17.09	40.89	N	07/2014	Incumbent
11-1011.00	8824	FT	4	15.58	85	4.26	8.84	25.99	N	07/2014	Incumbent
11-1011.00	8824	FT	5	25.27	85	6.81	14.17	40.92	N	07/2014	Incumbent
11-1011.00	8824	FT	6	14.21	85	5.13	6.69	27.66	N	07/2014	Incumbent
11-1011.00	8824	FT	7	4.81	85	3.46	1.11	18.50	N	07/2014	Incumbent
11-1011.00	8824	IM	n/a	4.15	86	0.14	3.88	4.43	N	07/2014	Incumbent
11-1011.00	8824	RT	n/a	98.79	87	1.22	91.48	99.84	N	07/2014	Incumbent
11-1011.00	8836	FT	1	4.23	85	2.20	1.47	11.52	N	07/2014	Incumbent
11-1011.00	8836	FT	2	28.68	85	7.08	16.81	44.46	N	07/2014	Incumbent
11-1011.00	8836	FT	3	31.18	85	5.50	21.39	43.00	N	07/2014	Incumbent
11-1011.00	8836	FT	4	15.91	85	5.32	7.90	29.45	N	07/2014	Incumbent
11-1011.00	8836	FT	5	17.31	85	5.19	9.24	30.09	N	07/2014	Incumbent
11-1011.00	8836	FT	6	2.08	85	1.58	0.45	9.02	N	07/2014	Incumbent
11-1011.00	8836	FT	7	0.60	85	0.61	0.08	4.43	N	07/2014	Incumbent
11-1011.00	8836	IM	n/a	4.12	85	0.09	3.94	4.29	N	07/2014	Incumbent
11-1011.00	8836	RT	n/a	97.56	87	2.29	85.54	99.63	N	07/2014	Incumbent
11-1011.00	8832	FT	1	14.66	68	7.65	4.83	36.78	N	07/2014	Incumbent
11-1011.00	8832	FT	2	21.73	68	6.02	12.05	36.01	N	07/2014	Incumbent
11-1011.00	8832	FT	3	28.95	68	6.30	18.11	42.88	N	07/2014	Incumbent
11-1011.00	8832	FT	4	15.88	68	5.97	7.19	31.53	N	07/2014	Incumbent
11-1011.00	8832	FT	5	8.27	68	3.94	3.10	20.27	N	07/2014	Incumbent
11-1011.00	8832	FT	6	5.56	68	5.04	0.86	28.57	N	07/2014	Incumbent
11-1011.00	8832	FT	7	4.94	68	4.07	0.91	22.67	N	07/2014	Incumbent
11-1011.00	8832	IM	n/a	4.02	68	0.13	3.76	4.28	N	07/2014	Incumbent
11-1011.00	8832	RT	n/a	78.78	86	5.68	65.39	87.95	N	07/2014	Incumbent
11-1011.00	8835	FT	1	0.80	76	0.49	0.24	2.66	N	07/2014	Incumbent
11-1011.00	8835	FT	2	36.06	76	5.74	25.57	48.07	N	07/2014	Incumbent
11-1011.00	8835	FT	3	23.82	76	6.70	13.03	39.49	N	07/2014	Incumbent
11-1011.00	8835	FT	4	19.72	76	5.88	10.48	33.99	N	07/2014	Incumbent
11-1011.00	8835	FT	5	14.05	76	4.35	7.39	25.10	N	07/2014	Incumbent
11-1011.00	8835	FT	6	5.55	76	3.99	1.27	21.14	N	07/2014	Incumbent
11-1011.00	8835	FT	7	0.00	76	0.00	n/a	n/a	N	07/2014	Incumbent
11-1011.00	8835	IM	n/a	3.96	76	0.12	3.73	4.20	N	07/2014	Incumbent
11-1011.00	8835	RT	n/a	84.86	86	5.50	70.54	92.92	N	07/2014	Incumbent
11-1011.00	8833	FT	1	5.93	65	3.04	2.08	15.77	N	07/2014	Incumbent
11-1011.00	8833	FT	2	31.14	65	7.78	17.97	48.28	N	07/2014	Incumbent
11-1011.00	8833	FT	3	42.95	65	9.25	26.15	61.54	N	07/2014	Incumbent
11-1011.00	8833	FT	4	12.69	65	4.83	5.73	25.79	N	07/2014	Incumbent
11-1011.00	8833	FT	5	4.28	65	2.74	1.16	14.54	N	07/2014	Incumbent
11-1011.00	8833	FT	6	3.02	65	2.30	0.64	12.99	N	07/2014	Incumbent
11-1011.00	8833	FT	7	0.00	65	0.00	n/a	n/a	N	07/2014	Incumbent
11-1011.00	8833	IM	n/a	3.96	65	0.11	3.73	4.19	N	07/2014	Incumbent
11-1011.00	8833	RT	n/a	72.72	87	5.75	59.96	82.59	N	07/2014	Incumbent
11-1011.00	8829	FT	1	3.98	72	3.31	0.73	18.87	N	07/2014	Incumbent
11-1011.00	8829	FT	2	23.93	72	6.98	12.78	40.31	N	07/2014	Incumbent
11-1011.00	8829	FT	3	34.72	72	7.61	21.40	50.97	N	07/2014	Incumbent
11-1011.00	8829	FT	4	19.51	72	6.82	9.25	36.55	N	07/2014	Incumbent
11-1011.00	8829	FT	5	14.50	72	5.45	6.59	28.96	N	07/2014	Incumbent
11-1011.00	8829	FT	6	2.68	72	1.90	0.64	10.55	N	07/2014	Incumbent
11-1011.00	8829	FT	7	0.68	72	0.69	0.09	4.99	N	07/2014	Incumbent
11-1011.00	8829	IM	n/a	3.95	72	0.10	3.75	4.16	N	07/2014	Incumbent
11-1011.00	8829	RT	n/a	87.10	87	4.27	76.02	93.50	N	07/2014	Incumbent
11-1011.00	8837	FT	1	7.89	65	3.36	3.29	17.74	N	07/2014	Incumbent
11-1011.00	8837	FT	2	30.58	65	7.03	18.52	46.05	N	07/2014	Incumbent
11-1011.00	8837	FT	3	26.86	65	8.67	13.20	47.00	N	07/2014	Incumbent
11-1011.00	8837	FT	4	10.74	65	4.08	4.89	21.96	N	07/2014	Incumbent
11-1011.00	8837	FT	5	23.18	65	6.02	13.31	37.21	N	07/2014	Incumbent
11-1011.00	8837	FT	6	0.00	65	0.00	n/a	n/a	N	07/2014	Incumbent
11-1011.00	8837	FT	7	0.76	65	0.77	0.10	5.53	N	07/2014	Incumbent
11-1011.00	8837	IM	n/a	3.87	66	0.09	3.69	4.06	N	07/2014	Incumbent
11-1011.00	8837	RT	n/a	78.35	87	6.55	62.68	88.63	N	07/2014	Incumbent
11-1011.00	8830	FT	1	1.86	86	1.86	0.25	12.62	N	07/2014	Incumbent
11-1011.00	8830	FT	2	10.47	86	3.72	5.04	20.48	N	07/2014	Incumbent
11-1011.00	8830	FT	3	33.75	86	8.45	19.38	51.93	N	07/2014	Incumbent
11-1011.00	8830	FT	4	23.93	86	5.31	14.98	35.98	N	07/2014	Incumbent
11-1011.00	8830	FT	5	26.31	86	5.58	16.77	38.75	N	07/2014	Incumbent
11-1011.00	8830	FT	6	3.08	86	1.79	0.95	9.50	N	07/2014	Incumbent
11-1011.00	8830	FT	7	0.60	86	0.61	0.08	4.37	N	07/2014	Incumbent
11-1011.00	8830	IM	n/a	3.82	86	0.13	3.57	4.07	N	07/2014	Incumbent
11-1011.00	8830	RT	n/a	98.87	87	1.12	92.25	99.84	N	07/2014	Incumbent
11-1011.00	8839	FT	1	16.38	72	5.13	8.49	29.26	N	07/2014	Incumbent
11-1011.00	8839	FT	2	33.48	72	9.29	17.96	53.63	N	07/2014	Incumbent
11-1011.00	8839	FT	3	23.60	72	5.85	13.92	37.11	N	07/2014	Incumbent
11-1011.00	8839	FT	4	16.26	72	5.47	8.02	30.19	N	07/2014	Incumbent
11-1011.00	8839	FT	5	8.51	72	4.25	3.04	21.66	N	07/2014	Incumbent
11-1011.00	8839	FT	6	1.76	72	1.78	0.23	12.25	N	07/2014	Incumbent
11-1011.00	8839	FT	7	0.00	72	0.00	n/a	n/a	N	07/2014	Incumbent
11-1011.00	8839	IM	n/a	3.73	71	0.14	3.45	4.01	N	07/2014	Incumbent
11-1011.00	8839	RT	n/a	85.82	87	4.54	74.24	92.70	N	07/2014	Incumbent
11-1011.00	8843	FT	1	5.51	72	3.61	1.44	18.88	N	07/2014	Incumbent
11-1011.00	8843	FT	2	28.39	72	5.71	18.46	40.97	N	07/2014	Incumbent
11-1011.00	8843	FT	3	16.70	72	5.29	8.59	29.98	N	07/2014	Incumbent
11-1011.00	8843	FT	4	28.19	72	6.62	16.98	42.97	N	07/2014	Incumbent
11-1011.00	8843	FT	5	10.86	72	4.81	4.32	24.71	N	07/2014	Incumbent
11-1011.00	8843	FT	6	9.64	72	5.59	2.88	27.74	N	07/2014	Incumbent
11-1011.00	8843	FT	7	0.70	72	0.71	0.09	5.13	N	07/2014	Incumbent
11-1011.00	8843	IM	n/a	3.69	72	0.14	3.42	3.96	N	07/2014	Incumbent
11-1011.00	8843	RT	n/a	83.82	87	5.83	68.78	92.42	N	07/2014	Incumbent
11-1011.00	8834	FT	1	10.60	66	4.98	3.98	25.30	N	07/2014	Incumbent
11-1011.00	8834	FT	2	38.78	66	6.22	27.30	51.66	N	07/2014	Incumbent
11-1011.00	8834	FT	3	28.91	66	8.21	15.47	47.45	N	07/2014	Incumbent
11-1011.00	8834	FT	4	17.34	66	5.89	8.46	32.28	N	07/2014	Incumbent
11-1011.00	8834	FT	5	1.43	66	1.43	0.19	9.84	N	07/2014	Incumbent
11-1011.00	8834	FT	6	2.94	66	2.12	0.68	11.81	N	07/2014	Incumbent
11-1011.00	8834	FT	7	0.00	66	0.00	n/a	n/a	N	07/2014	Incumbent
11-1011.00	8834	IM	n/a	3.65	66	0.14	3.36	3.93	N	07/2014	Incumbent
11-1011.00	8834	RT	n/a	81.80	86	4.81	70.28	89.52	N	07/2014	Incumbent
11-1011.00	20461	FT	1	8.52	60	3.68	3.49	19.33	N	07/2014	Incumbent
11-1011.00	20461	FT	2	34.04	60	8.57	19.38	52.56	N	07/2014	Incumbent
11-1011.00	20461	FT	3	34.66	60	9.24	19.00	54.54	N	07/2014	Incumbent
11-1011.00	20461	FT	4	11.39	60	5.18	4.40	26.41	N	07/2014	Incumbent
11-1011.00	20461	FT	5	4.74	60	3.24	1.17	17.31	N	07/2014	Incumbent
11-1011.00	20461	FT	6	5.84	60	4.02	1.41	21.13	N	07/2014	Incumbent
11-1011.00	20461	FT	7	0.81	60	0.82	0.10	5.94	N	07/2014	Incumbent
11-1011.00	20461	IM	n/a	3.64	60	0.15	3.33	3.95	N	07/2014	Incumbent
11-1011.00	20461	RT	n/a	73.15	87	6.14	59.40	83.53	N	07/2014	Incumbent
11-1011.00	8846	FT	1	27.40	63	6.81	15.99	42.80	N	07/2014	Incumbent
11-1011.00	8846	FT	2	24.79	63	7.31	13.08	41.92	N	07/2014	Incumbent
11-1011.00	8846	FT	3	20.12	63	5.94	10.74	34.52	N	07/2014	Incumbent
11-1011.00	8846	FT	4	6.56	63	3.15	2.45	16.40	N	07/2014	Incumbent
11-1011.00	8846	FT	5	17.05	63	6.26	7.82	33.23	N	07/2014	Incumbent
11-1011.00	8846	FT	6	1.61	63	1.61	0.21	11.14	N	07/2014	Incumbent
11-1011.00	8846	FT	7	2.48	63	1.84	0.56	10.39	N	07/2014	Incumbent
11-1011.00	8846	IM	n/a	3.62	63	0.15	3.32	3.91	N	07/2014	Incumbent
11-1011.00	8846	RT	n/a	70.20	87	7.33	54.00	82.53	N	07/2014	Incumbent
11-1011.00	8848	FT	1	22.51	63	6.55	12.06	38.10	N	07/2014	Incumbent
11-1011.00	8848	FT	2	37.62	63	6.93	25.04	52.11	N	07/2014	Incumbent
11-1011.00	8848	FT	3	30.50	63	7.66	17.57	47.47	N	07/2014	Incumbent
11-1011.00	8848	FT	4	3.80	63	2.18	1.19	11.51	N	07/2014	Incumbent
11-1011.00	8848	FT	5	4.58	63	4.25	0.68	25.14	N	07/2014	Incumbent
11-1011.00	8848	FT	6	0.20	63	0.21	0.03	1.55	N	07/2014	Incumbent
11-1011.00	8848	FT	7	0.79	63	0.80	0.10	5.80	N	07/2014	Incumbent
11-1011.00	8848	IM	n/a	3.33	63	0.15	3.03	3.63	N	07/2014	Incumbent
11-1011.00	8848	RT	n/a	75.11	87	5.23	63.36	84.04	N	07/2014	Incumbent
11-1011.00	8828	FT	1	2.27	58	1.40	0.66	7.59	N	07/2014	Incumbent
11-1011.00	8828	FT	2	3.09	58	3.06	0.41	19.83	N	07/2014	Incumbent
11-1011.00	8828	FT	3	11.19	58	4.22	5.11	22.76	N	07/2014	Incumbent
11-1011.00	8828	FT	4	18.37	58	6.65	8.48	35.34	N	07/2014	Incumbent
11-1011.00	8828	FT	5	35.74	58	8.38	21.12	53.60	N	07/2014	Incumbent
11-1011.00	8828	FT	6	8.07	58	4.27	2.70	21.74	N	07/2014	Incumbent
11-1011.00	8828	FT	7	21.27	58	7.71	9.71	40.45	N	07/2014	Incumbent
11-1011.00	8828	IM	n/a	4.25	58	0.16	3.93	4.58	N	07/2014	Incumbent
11-1011.00	8828	RT	n/a	59.37	87	9.15	40.74	75.64	N	07/2014	Incumbent
11-1011.00	8844	FT	1	20.38	23	8.92	7.56	44.47	N	07/2014	Incumbent
11-1011.00	8844	FT	2	64.37	23	12.74	36.35	85.11	N	07/2014	Incumbent
11-1011.00	8844	FT	3	11.89	23	8.41	2.49	41.61	N	07/2014	Incumbent
11-1011.00	8844	FT	4	0.00	23	0.00	n/a	n/a	N	07/2014	Incumbent
11-1011.00	8844	FT	5	3.36	23	3.44	0.38	23.86	N	07/2014	Incumbent
11-1011.00	8844	FT	6	0.00	23	0.00	n/a	n/a	N	07/2014	Incumbent
11-1011.00	8844	FT	7	0.00	23	0.00	n/a	n/a	N	07/2014	Incumbent
11-1011.00	8844	IM	n/a	3.93	23	0.24	3.42	4.43	N	07/2014	Incumbent
11-1011.00	8844	RT	n/a	37.30	87	8.18	22.88	54.38	N	07/2014	Incumbent
11-1011.00	8845	FT	1	21.34	31	8.38	8.91	42.93	N	07/2014	Incumbent
11-1011.00	8845	FT	2	31.81	31	9.49	16.03	53.26	N	07/2014	Incumbent
11-1011.00	8845	FT	3	37.97	31	10.34	19.98	60.01	N	07/2014	Incumbent
11-1011.00	8845	FT	4	6.29	31	4.18	1.55	22.24	N	07/2014	Incumbent
11-1011.00	8845	FT	5	0.00	31	0.00	n/a	n/a	N	07/2014	Incumbent
11-1011.00	8845	FT	6	2.60	31	2.64	0.32	18.30	N	07/2014	Incumbent
11-1011.00	8845	FT	7	0.00	31	0.00	n/a	n/a	N	07/2014	Incumbent
11-1011.00	8845	IM	n/a	3.92	31	0.22	3.47	4.37	N	07/2014	Incumbent
11-1011.00	8845	RT	n/a	46.48	87	7.71	31.94	61.65	N	07/2014	Incumbent
11-1011.00	8847	FT	1	28.11	35	8.35	14.45	47.51	N	07/2014	Incumbent
11-1011.00	8847	FT	2	31.45	35	10.05	15.10	54.19	N	07/2014	Incumbent
11-1011.00	8847	FT	3	14.68	35	6.02	6.08	31.38	N	07/2014	Incumbent
11-1011.00	8847	FT	4	4.17	35	3.63	0.69	21.56	N	07/2014	Incumbent
11-1011.00	8847	FT	5	12.68	35	6.42	4.27	32.07	N	07/2014	Incumbent
11-1011.00	8847	FT	6	7.45	35	4.71	1.97	24.39	N	07/2014	Incumbent
11-1011.00	8847	FT	7	1.47	35	1.48	0.18	10.73	N	07/2014	Incumbent
11-1011.00	8847	IM	n/a	3.86	35	0.23	3.38	4.34	N	07/2014	Incumbent
11-1011.00	8847	RT	n/a	40.27	87	6.13	28.88	52.81	N	07/2014	Incumbent
11-1011.00	8851	FT	1	23.63	32	9.18	9.89	46.61	N	07/2014	Incumbent
11-1011.00	8851	FT	2	36.01	32	7.20	22.94	51.55	N	07/2014	Incumbent
11-1011.00	8851	FT	3	29.19	32	7.21	16.83	45.65	N	07/2014	Incumbent
11-1011.00	8851	FT	4	7.58	32	5.08	1.83	26.49	N	07/2014	Incumbent
11-1011.00	8851	FT	5	0.87	32	0.91	0.10	6.97	N	07/2014	Incumbent
11-1011.00	8851	FT	6	2.71	32	2.77	0.33	19.17	N	07/2014	Incumbent
11-1011.00	8851	FT	7	0.00	32	0.00	n/a	n/a	N	07/2014	Incumbent
11-1011.00	8851	IM	n/a	3.75	32	0.18	3.38	4.12	N	07/2014	Incumbent
11-1011.00	8851	RT	n/a	44.53	87	8.59	28.67	61.58	N	07/2014	Incumbent
11-1011.00	8838	FT	1	6.54	48	3.62	2.08	18.73	N	07/2014	Incumbent
11-1011.00	8838	FT	2	15.30	48	6.14	6.51	31.90	N	07/2014	Incumbent
11-1011.00	8838	FT	3	32.80	48	7.31	20.04	48.75	N	07/2014	Incumbent
11-1011.00	8838	FT	4	12.45	48	5.41	4.98	27.85	N	07/2014	Incumbent
11-1011.00	8838	FT	5	29.57	48	6.53	18.27	44.09	N	07/2014	Incumbent
11-1011.00	8838	FT	6	0.00	48	0.00	n/a	n/a	N	07/2014	Incumbent
11-1011.00	8838	FT	7	3.33	48	2.53	0.71	14.35	N	07/2014	Incumbent
11-1011.00	8838	IM	n/a	3.74	48	0.13	3.47	4.01	N	07/2014	Incumbent
11-1011.00	8838	RT	n/a	52.49	87	7.17	38.42	66.18	N	07/2014	Incumbent
11-1011.00	8853	FT	1	46.77	36	11.64	25.38	69.41	N	07/2014	Incumbent
11-1011.00	8853	FT	2	25.58	36	7.92	12.87	44.44	N	07/2014	Incumbent
11-1011.00	8853	FT	3	4.05	36	3.64	0.62	22.08	N	07/2014	Incumbent
11-1011.00	8853	FT	4	10.86	36	7.99	2.23	39.41	N	07/2014	Incumbent
11-1011.00	8853	FT	5	11.35	36	5.09	4.39	26.32	N	07/2014	Incumbent
11-1011.00	8853	FT	6	0.00	36	0.00	n/a	n/a	N	07/2014	Incumbent
11-1011.00	8853	FT	7	1.40	36	1.42	0.17	10.29	N	07/2014	Incumbent
11-1011.00	8853	IM	n/a	3.63	36	0.29	3.04	4.22	N	07/2014	Incumbent
11-1011.00	8853	RT	n/a	43.12	86	6.58	30.79	56.37	N	07/2014	Incumbent
11-1011.00	8840	FT	1	2.04	42	2.06	0.26	14.31	N	07/2014	Incumbent
11-1011.00	8840	FT	2	45.99	42	8.14	30.52	62.27	N	07/2014	Incumbent
11-1011.00	8840	FT	3	34.81	42	7.80	21.06	51.67	N	07/2014	Incumbent
11-1011.00	8840	FT	4	13.50	42	6.12	5.14	31.01	N	07/2014	Incumbent
11-1011.00	8840	FT	5	2.48	42	2.19	0.40	13.72	N	07/2014	Incumbent
11-1011.00	8840	FT	6	1.18	42	1.19	0.15	8.64	N	07/2014	Incumbent
11-1011.00	8840	FT	7	0.00	42	0.00	n/a	n/a	N	07/2014	Incumbent
11-1011.00	8840	IM	n/a	3.56	42	0.15	3.26	3.86	N	07/2014	Incumbent
11-1011.00	8840	RT	n/a	56.76	87	7.25	42.19	70.25	N	07/2014	Incumbent
11-1011.00	8849	FT	1	19.24	36	7.48	8.23	38.75	N	07/2014	Incumbent
11-1011.00	8849	FT	2	29.55	36	7.29	17.08	46.06	N	07/2014	Incumbent
11-1011.00	8849	FT	3	41.61	36	8.63	25.74	59.44	N	07/2014	Incumbent
11-1011.00	8849	FT	4	6.94	36	5.09	1.48	26.97	N	07/2014	Incumbent
11-1011.00	8849	FT	5	0.00	36	0.00	n/a	n/a	N	07/2014	Incumbent
11-1011.00	8849	FT	6	2.67	36	2.69	0.33	18.37	N	07/2014	Incumbent
11-1011.00	8849	FT	7	0.00	36	0.00	n/a	n/a	N	07/2014	Incumbent
11-1011.00	8849	IM	n/a	3.37	36	0.19	2.97	3.76	N	07/2014	Incumbent
11-1011.00	8849	RT	n/a	45.98	86	7.93	31.09	61.62	N	07/2014	Incumbent
11-1011.00	8852	FT	1	15.88	50	6.83	6.33	34.52	N	07/2014	Incumbent
11-1011.00	8852	FT	2	46.33	50	6.82	33.22	59.95	N	07/2014	Incumbent
11-1011.00	8852	FT	3	30.26	50	7.50	17.53	46.98	N	07/2014	Incumbent
11-1011.00	8852	FT	4	5.54	50	3.94	1.27	21.05	N	07/2014	Incumbent
11-1011.00	8852	FT	5	2.00	50	2.03	0.25	14.06	N	07/2014	Incumbent
11-1011.00	8852	FT	6	0.00	50	0.00	n/a	n/a	N	07/2014	Incumbent
11-1011.00	8852	FT	7	0.00	50	0.00	n/a	n/a	N	07/2014	Incumbent
11-1011.00	8852	IM	n/a	3.33	50	0.22	2.88	3.78	N	07/2014	Incumbent
11-1011.00	8852	RT	n/a	60.60	86	7.15	45.89	73.60	N	07/2014	Incumbent
11-1011.00	8850	FT	1	24.80	50	7.83	12.42	43.39	N	07/2014	Incumbent
11-1011.00	8850	FT	2	36.86	50	8.41	22.02	54.69	N	07/2014	Incumbent
11-1011.00	8850	FT	3	29.12	50	7.29	16.80	45.52	N	07/2014	Incumbent
11-1011.00	8850	FT	4	6.02	50	3.57	1.77	18.55	N	07/2014	Incumbent
11-1011.00	8850	FT	5	1.05	50	1.06	0.14	7.62	N	07/2014	Incumbent
11-1011.00	8850	FT	6	2.15	50	2.17	0.28	14.89	N	07/2014	Incumbent
11-1011.00	8850	FT	7	0.00	50	0.00	n/a	n/a	N	07/2014	Incumbent
11-1011.00	8850	IM	n/a	3.11	50	0.18	2.74	3.47	N	07/2014	Incumbent
11-1011.00	8850	RT	n/a	56.16	87	7.18	41.78	69.58	N	07/2014	Incumbent
11-1011.00	8842	FT	1	50.29	18	14.65	22.72	77.69	N	07/2014	Incumbent
11-1011.00	8842	FT	2	33.59	18	14.53	11.35	66.65	N	07/2014	Incumbent
11-1011.00	8842	FT	3	11.63	18	8.43	2.28	42.59	N	07/2014	Incumbent
11-1011.00	8842	FT	4	0.00	18	0.00	n/a	n/a	N	07/2014	Incumbent
11-1011.00	8842	FT	5	4.48	18	4.49	0.51	30.00	N	07/2014	Incumbent
11-1011.00	8842	FT	6	0.00	18	0.00	n/a	n/a	N	07/2014	Incumbent
11-1011.00	8842	FT	7	0.00	18	0.00	n/a	n/a	N	07/2014	Incumbent
11-1011.00	8842	IM	n/a	2.81	18	0.19	2.41	3.22	N	07/2014	Incumbent
11-1011.00	8842	RT	n/a	26.95	87	4.74	18.61	37.32	N	07/2014	Incumbent
11-1011.03	15382	FT	1	3.85	26	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	15382	FT	2	26.92	26	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	15382	FT	3	38.46	26	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	15382	FT	4	23.08	26	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	15382	FT	5	3.85	26	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	15382	FT	6	3.85	26	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	15382	FT	7	0.00	26	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	15382	IM	n/a	4.38	26	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	15382	RT	n/a	96.30	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	15384	FT	1	0.00	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	15384	FT	2	11.11	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	15384	FT	3	29.63	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	15384	FT	4	25.93	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	15384	FT	5	18.52	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	15384	FT	6	14.81	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	15384	FT	7	0.00	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	15384	IM	n/a	4.37	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	15384	RT	n/a	100.00	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	15379	FT	1	0.00	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
